              Procedure           Image            Address        Calls Instructions
               .plt.got       libc.so.6       7f60200c12c0           35           42
                   @plt       libc.so.6       7f60200c12b0           18           18
                   @plt       libc.so.6       7f60200c1270            1            1
                   @plt       libc.so.6       7f60200c1230           17           17
                   @plt       libc.so.6       7f60200c1210           40           40
                   @plt       libc.so.6       7f60200c1200           65           65
_dl_find_dso_for_object@plt       libc.so.6       7f60200c11a0            1            3
                   @plt       libc.so.6       7f60200c1160           51           51
                   @plt       libc.so.6       7f60200c1110            2            2
                   @plt       libc.so.6       7f60200c1100          106          106
  __tunable_get_val@plt       libc.so.6       7f60200c10f0           11           13
                   @plt       libc.so.6       7f60200c10c0           58           58
                   @plt       libc.so.6       7f60200c1040            1            1
                   .plt       libc.so.6       7f60200c0fd0            2            4
                  _fini libselinux.so.1       7f60204ae4d0            1            3
       selinuxfs_exists libselinux.so.1       7f602049f3f0            1          491
                  .text libselinux.so.1       7f6020497210            1          366
               .plt.got libselinux.so.1       7f60204971c0            0            1
             strstr@plt libselinux.so.1       7f6020497170           34           36
            sysconf@plt libselinux.so.1       7f60204970b0            1            3
              fopen@plt libselinux.so.1       7f6020497080            1            3
             access@plt libselinux.so.1       7f6020497070            1            3
      __fsetlocking@plt libselinux.so.1       7f6020496ef0            1            3
             statfs@plt libselinux.so.1       7f6020496e60            2            4
         __getdelim@plt libselinux.so.1       7f6020496dc0           35           37
             fclose@plt libselinux.so.1       7f6020496b80            1            3
   __errno_location@plt libselinux.so.1       7f6020496a70            2            4
               free@plt libselinux.so.1       7f6020496a30           37           39
                   .plt libselinux.so.1       7f6020496a10           10           20
                  _init libselinux.so.1       7f60204969f8            1            6
    _dl_catch_exception ld-linux-x86-64.so.2       7f60347d8c10           13          403
                 calloc ld-linux-x86-64.so.2       7f60347d85e0           17          136
                 malloc ld-linux-x86-64.so.2       7f60347d84b0           38          740
      __tunable_get_val ld-linux-x86-64.so.2       7f60347d6250           26          474
_dl_find_dso_for_object ld-linux-x86-64.so.2       7f60347d1640            1           47
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7f60347d0160            1          153
_dl_get_tls_static_info ld-linux-x86-64.so.2       7f60347d0070            1            5
        _dl_debug_state ld-linux-x86-64.so.2       7f60347cdda0            2            2
                  .text ld-linux-x86-64.so.2       7f60347bdf10            1        10608
