0x7f948e08ef41: 9(0x7f9479f5d000, 0x2000, 0x3, 0x812, 0x3, 0x19000)returns: 0x7f9479f5d000
0x7f948e08ef41: 9(0x7f9479f5f000, 0x3480, 0x3, 0x32, 0xffffffff, 0x0)returns: 0x7f9479f5f000
0x7f948e08eed5: 3(0x3, 0x28, 0x0, 0x31, 0x6fffffff, 0x70000021)returns: 0x0
0x7f948e08ef41: 9(0x0, 0x2000, 0x3, 0x22, 0xffffffff, 0x0)returns: 0x7f9479d3c000
0x7f948e073022: 158(0x1002, 0x7f9479d3d040, 0x7f9479d3d980, 0x7f9479d3c448, 0x90, 0x40)returns: 0x0
0x7f948e08eff5: 10(0x7f947a7da000, 0x4000, 0x1, 0x7f947aa544f0, 0x7ffe8415f1a8, 0x2)returns: 0x0
0x7f948e08eff5: 10(0x7f9479f5d000, 0x1000, 0x1, 0x7f947aa55470, 0x1, 0x798)returns: 0x0
0x7f948e08eff5: 10(0x7f947a17f000, 0x1000, 0x1, 0x7f947aa54ee0, 0x1, 0x798)returns: 0x0
0x7f948e08eff5: 10(0x7f947a3f1000, 0x1000, 0x1, 0x7f947aa549e0, 0x0, 0x54d)returns: 0x0
0x7f948e08eff5: 10(0x7f947aa2e000, 0x1000, 0x1, 0x7f947aa54000, 0x1, 0x8b)returns: 0x0
0x7f948e08eff5: 10(0x55ad80aa7000, 0x2000, 0x1, 0x7f948e29b170, 0x0, 0x7d4)returns: 0x0
0x7f948e08eff5: 10(0x7f948e299000, 0x1000, 0x1, 0x7f948e29a9f0, 0x0, 0xc0)returns: 0x0
0x7f948e08efd5: 11(0x7f947aaa3000, 0x14cc9, 0x21ad200000000, 0x7f948e29a9f0, 0x0, 0xc0)returns: 0x0
0x7f9479d49eb3: 218(0x7f9479d3d310, 0x7ffe84121bc8, 0x7f9479d3d040, 0x7f948e29a9f0, 0x0, 0xc0)returns: 0x6311
0x7f9479d49f15: 273(0x7f9479d3d320, 0x18, 0x7f9479d3d040, 0x7f948e29a9f0, 0x0, 0xc0)returns: 0x0
0x7f9479d5695b: 13(0x20, 0x7ffe84121930, 0x0, 0x8, 0x0, 0xc0)returns: 0x0
0x7f9479d5695b: 13(0x21, 0x7ffe84121930, 0x0, 0x8, 0x0, 0xc0)returns: 0x0
0x7f9479d49ff1: 14(0x1, 0x7ffe84121aa8, 0x0, 0x8, 0x0, 0xc0)returns: 0x0
0x7f947a508f9e: 302(0x0, 0x3, 0x0, 0x7ffe84121a90, 0x0, 0xc0)returns: 0x0
0x7f947a502975: 137(0x7f947a827c63, 0x7ffe84121a60, 0x1000, 0x7, 0x2, 0x0)returns: 0xffffffffffffffff
0x7f947a502975: 137(0x7f947a827c6a, 0x7ffe84121a60, 0x1000, 0x7, 0x2, 0x0)returns: 0xffffffffffffffff
0x7f947a5094b7: 12(0x0, 0x7f947a7dec40, 0x20270, 0xfffffffffffff000, 0x2, 0x0)returns: 0x55ad827ec000
0x7f947a5094b7: 12(0x55ad8280d000, 0x7f947a7dec40, 0x55ad827ec000, 0xfffffffffffff000, 0x2, 0x0)returns: 0x55ad8280d000
0x7f947a502c8c: 257(0xffffff9c, 0x7f947a827c47, 0x80000, 0x0, 0x0, 0x7f947a827d18)returns: 0x3
0x7f947a5027c1: 5(0x3, 0x7ffe84121940, 0x7ffe84121940, 0x0, 0x2c, 0x0)returns: 0x0
0x7f947a50307f: 0(0x3, 0x55ad827ec510, 0x400, 0x55ad827ec010, 0x77, 0x0)returns: 0x19f
0x7f947a50307f: 0(0x3, 0x55ad827ec510, 0x400, 0x55ad827ec6af, 0xfffc4000, 0x0)returns: 0x0
0x7f947a503945: 3(0x3, 0x0, 0x7f947a7da760, 0x7, 0xfffc4000, 0x0)returns: 0x0
0x7f947a503245: 21(0x7f947a827c8b, 0x0, 0x0, 0x7, 0xfffc4000, 0x0)returns: 0xffffffffffffffff
0x7f947a502daf: 257(0xffffff9c, 0x7f947a5ae190, 0x80000, 0x0, 0x1, 0x0)returns: 0x3
0x7f947a5027c1: 5(0x3, 0x7f947a7dfac0, 0x7f947a7dfac0, 0x0, 0x1, 0x0)returns: 0x0
0x7f947a50ea11: 9(0x0, 0x9ce3d0, 0x1, 0x2, 0x3, 0x0)returns: 0x7f94790d6000
0x7f947a503945: 3(0x3, 0x9ce3d0, 0x2d69, 0x2, 0x3, 0x0)returns: 0x0
0x7f947a508ca6: 16(0x1, 0x5401, 0x7ffe841219c0, 0x55ad827ec010, 0x7ffe84121a00, 0x0)returns: 0x0
0x7f947a5095d5: 16(0x1, 0x5413, 0x7ffe84121a90, 0x7f947a578fe0, 0xffff, 0x1)returns: 0x0
0x7f947a502daf: 257(0xffffff9c, 0x55ad827f29b0, 0x90800, 0x0, 0x77, 0x0)returns: 0x3
0x7f947a5027c1: 5(0x3, 0x7ffe84121610, 0x7ffe84121610, 0x0, 0x77, 0x0)returns: 0x0
0x7f947a4d30a6: 78(0x3, 0x55ad827f2a00, 0x8000, 0x55ad827ec010, 0x78, 0x0)returns: 0x1b8
0x7f947a4d30a6: 78(0x3, 0x55ad827f2a00, 0x8000, 0x55ad827ec010, 0x0, 0x0)returns: 0x0
0x7f947a503945: 3(0x3, 0x0, 0x7f947a7deca0, 0x55ad827ec010, 0x0, 0x0)returns: 0x0
0x7f947a5027c1: 5(0x1, 0x7ffe8411f140, 0x7ffe8411f140, 0x3, 0x0, 0x0)returns: 0x0
0x7f947a503152: 1(0x1, 0x55ad827ec510, 0x46, 0xa, 0x0, 0x0)returns: 0x46
0x7f947a503152: 1(0x1, 0x55ad827ec510, 0x35, 0x6, 0x0, 0x0)returns: 0x35
0x7f947a503945: 3(0x1, 0x55ad827ec510, 0x7f947a7da760, 0x6, 0x7f9479d3d040, 0x7f9479d3d040)returns: 0x0
0x7f947a503945: 3(0x2, 0x1, 0x7f947a7da760, 0x6, 0x7f9479d3d040, 0x7f9479d3d040)returns: 0x0
0x7f947a4d7e04: 231(0x0, 0x3c, 0x0, 0x7f9479f5e2a0, 0xe7, 0xfffffffffffffe98)#eof
